r 0.626267 1 0 ack 40 ------- 0 1.0 0.0 58 136
+ 0.626267 0 1 tcp 1040 ------- 0 0.0 1.0 78 137
r 0.627933 0 1 tcp 1040 ------- 0 0.0 1.0 59 99
+ 0.627933 1 0 ack 40 ------- 0 1.0 0.0 59 138
- 0.627933 1 0 ack 40 ------- 0 1.0 0.0 59 138
- 0.629867 0 1 tcp 1040 ------- 0 0.0 1.0 61 103
r 0.6332 1 0 ack 40 ------- 0 1.0 0.0 59 138
+ 0.6332 0 1 tcp 1040 ------- 0 0.0 1.0 79 139
r 0.634867 0 1 tcp 1040 ------- 0 0.0 1.0 60 101
+ 0.634867 1 0 ack 40 ------- 0 1.0 0.0 60 140
- 0.634867 1 0 ack 40 ------- 0 1.0 0.0 60 140
- 0.6368 0 1 tcp 1040 ------- 0 0.0 1.0 62 105
r 0.640133 1 0 ack 40 ------- 0 1.0 0.0 60 140
+ 0.640133 0 1 tcp 1040 ------- 0 0.0 1.0 80 141
r 0.6418 0 1 tcp 1040 ------- 0 0.0 1.0 61 103
+ 0.6418 1 0 ack 40 ------- 0 1.0 0.0 61 142
- 0.6418 1 0 ack 40 ------- 0 1.0 0.0 61 142
- 0.643733 0 1 tcp 1040 ------- 0 0.0 1.0 63 107
r 0.647067 1 0 ack 40 ------- 0 1.0 0.0 61 142
+ 0.647067 0 1 tcp 1040 ------- 0 0.0 1.0 81 143
r 0.648733 0 1 tcp 1040 ------- 0 0.0 1.0 62 105
+ 0.648733 1 0 ack 40 ------- 0 1.0 0.0 62 144
